1,ntu,28 . Vex Dckta~Foks Mz Nzamukxtr-krde Pawa Skul ,		ve -=x		mz	nz- a- mu kx tr -kr -=de	Pawa	skul	,	.	ve -=x		mz	nz- a- mu kx tr -kr -=de	Pawa	skul	,	.	accompany -=1MINᵢ		PREP	NMLZ CAUS eat SUBR holy NMLZ.POSS -=3MINᵢᵢ	Pawa.school	be.schooled	,28. I accompany Doctor Fox When he Celebrates Holy Communion at Pawa School ,~~~,ML ID,No comment,SGM 28,	punct	V Nom1		PREP	V>N V:Any V SUBR V V>N A-D-P2	N	V	,~~~ punct ~~~ ~~~ PREP ~~~ ~~~ V ,		~~~ ~~~		~~~	~~~ ~~~ ~~~ ~~~ ~~~ ~~~ ~~~	~~~	~~~	
3.1,ntu,Kx krlzpekr kc natq kcng tzayzlu mz nzwrkxtrngr sc tzaveatipe tzsiu kcng Mama Jos Wes vzm sc tqawrkxtrpele nigr . ,kx	krlz -=pe -=kr	kc	natq	kcng	tz- a- yzlu	mz	nz- wrkxtr -ngr	sc-	tz- a- vea -ti -=pe	tzsiu	kcng	mama			vz -mq -=	sc-	tq- awrkxtr -=pe -=le	nigr		,kx	krlz -=pe -=kr	kc	natq	kcng	tz- a- yzlu	mz	nz- wrkxtr -ngr	sc-	tz- a- vea -ti -=pe	tzsiu	kcng	mama			vz -mq -=Ø	sc-	tq- awrkxtr -=pe -=le	nigr	.	,SUBR	know -=INCH* -=1AUGᵢ	which	word	those	PASS CAUS return	PREP	NMLZ baptised DER	PFV	RL+3AUG CAUS ask TRNS -=INCH*	monk	those	priest			go PDIR.HITHER -=3MINᵢ	PFV	RL baptize -=INCH* -=3MINᵢ	ACC.1augᵢᵢ	.	,"When we knew the words which are responded to in baptism, the brothers invited Father George West he came and he baptised us. ",~~~,ML ID,No comment,SGM 24,SUBR	V V Nom1	RPRN	N	RPRN	<NotSure> V:Any V	PREP	V>N V V>N	V:(Procliticaspect)	V:(MOOD) V:Any V V:Any V	N	RPRN	N			V V:(PDIR) Nom1	V:(Procliticaspect)	V:(MOOD) V V Nom1	A-D-P2	punct	,Particle ~~~ RPRN N pro V PREP ~~~ ~~~ V N pro N ~~~ ~~~ V ~~~ ~~~ Pers pro punct ,~~~	~~~ ~~~ ~~~	~~~	~~~	~~~	~~~ ~~~ ~~~	~~~	~~~ ~~~ ~~~	~~~	~~~ ~~~ ~~~ ~~~ ~~~	~~~	~~~	~~~			~~~ ~~~ ~~~	~~~	~~~ ~~~ ~~~ ~~~	~~~		
3.2,ntu,Wrkxtrkr yz mz ma nyz tzsiu . ,wrkxtr -=kr	yz	mz	ma	nyz	tzsiu		,wrkxtr -=kr	yz	mz	ma	nyz	tzsiu	.	,baptised -=1AUGᵢ	outside	PREP	house	PCLF8	monk	.	,We were baptised outside the house of the brothers. ,~~~,ML ID,No comment,SGM 24,V Nom1	Adv	PREP	N	PCLF	N	punct	,~~~ Adv PREP N PCLF N punct ,~~~ ~~~	~~~	~~~	~~~	~~~	~~~		
3.3,ntu,Mama lc nide lr Inglan x mnc Namc . ,mama	lc	nide	lr	Inglan	x	mnc			,mama	lc	nide	lr	Inglan	x	mnc		.	,priest	DEM2	ACC.3minᵢᵢ	ITE	ENGLAND	CONJ1	be		.	,That priest was from England and lived at Namc. ,~~~,ML ID,No comment,SGM 24,N	Det	A-D-P2	Posspro	PN	CONJ	V		punct	,N Det Pers pro Poss pro PN CONJ V ~~~ punct ,~~~	~~~	~~~	~~~	~~~	~~~	~~~			
3.4,ntu,Mzli lcde tqwrkxtr-ngrgr aclvele ninge Tzsiu Jon Binii dalr Vanuatu . ,mzli	lcde	tq- wrkxtr -ngr -=gr	aclve -=le	ni- -=nge	tzsiu	Jon		dalr	Vanuatu		,mzli	lcde	tq- wrkxtr -ngr -=gr	aclve -=le	ni- -=nge	tzsiu	Jon		dalr	Vanuatu	.	,time	there	RL baptised APP -=1AUGᵢᵢ	oversee -=3MINᵢ	ACC -=1MINᵢᵢ	monk	John		people.of	Vanuatu	.	,During the time I was baptised the one who oversaw me was Brother John Binii from Vanuatu. ,~~~,ML ID,No comment,SGM 24,N	Adv	V:(MOOD) V V:(APP) A-D-P2	vt Nom1	Attachestoanycategory A-D-P2	N	PN		RPRN	PN	punct	,N Adv ~~~ ~~~ Pers pro N PN ~~~ RPRN PN punct ,~~~	~~~	~~~ ~~~ ~~~ ~~~	~~~ ~~~	~~~ ~~~	~~~	~~~		~~~	~~~		
4.1,ntu,"Mz nzwrde krali kx nzprpxngr mou tzsiu , prtrpo badr mz nzvz-krdr . ",mz	nzwr -=de	kra- li	kx	nz- prpx -ngr	mou	tzsiu		prtr -mq -=x	badr	mz	nz- vz -kr -=dr		,"mz	nzwr -=de	kra- li	kx	nz- prpx -ngr	mou	tzsiu	,	prtr -mq -=x	badr	mz	nz- vz -kr -=dr	.	","PREP	time -=3MINᵢᵢ	ORD two	SUBR	NMLZ go.out DER	again	monk	,	enter.in PDIR.HITHER -=1MINᵢ	~~~	PREP	NMLZ go NMLZ.POSS -=3AUGᵢᵢ	.	","The second time that the brothers once again went out, I joined with them in their going. ",~~~,ML ID,No comment,SGM 24,PREP	N A-D-P2	NUM:(ORD) NUM	SUBR	V>N V V>N	Adv	N	punct	V V:(PDIR) Nom1	<NotSure>	PREP	V>N V V>N A-D-P2	punct	,PREP N Ord Particle ~~~ Adv N punct ~~~ A-D-P2 PREP ~~~ punct ,~~~	~~~ ~~~	~~~ ~~~	~~~	~~~ ~~~ ~~~	~~~	~~~		~~~ ~~~ ~~~	~~~	~~~	~~~ ~~~ ~~~ ~~~		
4.2,ntu,"Mz nzwr nzprpx-krdr krali lc nz-zpqtr-kzlr mztea tq , Bwapc , Ncmix x Mzjzbxlo . ",mz	nzwr	nz- prpx -kr -=dr	kra- li	lc	nz- zpqtr kz -=lr	mztea	tq					x			,"mz	nzwr	nz- prpx -kr -=dr	kra- li	lc	nz- zpqtr kz -=lr	mztea	tq	,		,		x		.	","PREP	time	NMLZ go.out NMLZ.POSS -=3AUGᵢᵢ	ORD two	DEM2	3AUGᵢ convert.s.o. also -=3AUGᵢ	village	three	,		,		CONJ1		.	","On that second trip of theirs they also converted the villages of Bwapc, Ncmix, and Mzjzbxlo. ",~~~,ML ID,No comment,SGM 24,PREP	N	V>N V V>N A-D-P2	NUM:(ORD) NUM	Det	V:Any vt Adv Nom1	N	NUM	punct		punct		CONJ		punct	,PREP N ~~~ Ord Det ~~~ N NUM punct ~~~ punct ~~~ CONJ ~~~ punct ,~~~	~~~	~~~ ~~~ ~~~ ~~~	~~~ ~~~	~~~	~~~ ~~~ ~~~ ~~~	~~~	~~~					~~~			
4.3,ntu,Mrlz sc tzyzlupe-mopwzng . ,mrlz	sc-	tz- yzlu -=pe mou -mq -=ngq		,mrlz	sc-	tz- yzlu -=pe mou -mq -=ngq	.	,be.good	PFV	RL+3AUG return -=INCH* again PDIR.HITHER -=3AUGᵢ	.	,"OK, then they returned again. ",~~~,ML ID,No comment,SGM 24,V	V:(Procliticaspect)	V:(MOOD) V V Adv V:(PDIR) Nom1	punct	,V ~~~ ~~~ punct ,~~~	~~~	~~~ ~~~ ~~~ ~~~ ~~~ ~~~		
4.4,ntu,"Nzwrde kratq nzprpx-krdr , nz-zpqtrlr Nzlwc x Banyr . ",nzwr -=de	kra- tq	nz- prpx -kr -=dr		nz- zpqtr -=lr		x			,"nzwr -=de	kra- tq	nz- prpx -kr -=dr	,	nz- zpqtr -=lr		x		.	","time -=3MINᵢᵢ	ORD three	NMLZ go.out NMLZ.POSS -=3AUGᵢᵢ	,	3AUGᵢ convert.s.o. -=3AUGᵢ		CONJ1		.	","The third trip, they converted Nzlwc and Banyr. ",~~~,ML ID,No comment,SGM 24,N A-D-P2	NUM:(ORD) NUM	V>N V V>N A-D-P2	punct	V:Any vt Nom1		CONJ		punct	,N Ord ~~~ punct ~~~ ~~~ CONJ ~~~ punct ,~~~ ~~~	~~~ ~~~	~~~ ~~~ ~~~ ~~~		~~~ ~~~ ~~~		~~~			
5.1,ntu,"Nzwrde krapwx nz-zpqtrlr Mwanzwq , Ncole x Ncnia . ",nzwr -=de	kra- pwx	nz- zpqtr -=lr				x			,"nzwr -=de	kra- pwx	nz- zpqtr -=lr		,		x		.	","time -=3MINᵢᵢ	ORD four	3AUGᵢ convert.s.o. -=3AUGᵢ		,		CONJ1		.	","The fourth time they converted Mwanzwq, Ncole, and Ncnia. ",~~~,ML ID,No comment,SGM 24,N A-D-P2	NUM:(ORD) NUM	V:Any vt Nom1		punct		CONJ		punct	,N Ord ~~~ ~~~ punct ~~~ CONJ ~~~ punct ,~~~ ~~~	~~~ ~~~	~~~ ~~~ ~~~				~~~			
5.2,ntu,X nzwrde kranzlvqnq nz-zpqtrlr Nebrnz x Neawr . ,x	nzwr -=de		nz- zpqtr -=lr		x			,x	nzwr -=de		nz- zpqtr -=lr		x		.	,CONJ1	time -=3MINᵢᵢ		3AUGᵢ convert.s.o. -=3AUGᵢ		CONJ1		.	,And the fifth time they converted Nebrnz and Neawr. ,~~~,ML ID,No comment,SGM 24,CONJ	N A-D-P2		V:Any vt Nom1		CONJ		punct	,CONJ N ~~~ ~~~ ~~~ CONJ ~~~ punct ,~~~	~~~ ~~~		~~~ ~~~ ~~~		~~~			
5.3,ntu,X sc tzyzlupe-mopwzng . ,x	sc-	tz- yzlu -=pe mou -mq -=ngq		,x	sc-	tz- yzlu -=pe mou -mq -=ngq	.	,CONJ1	PFV	RL+3AUG return -=INCH* again PDIR.HITHER -=3AUGᵢ	.	,And then they returned back again. ,~~~,ML ID,No comment,SGM 24,CONJ	V:(Procliticaspect)	V:(MOOD) V V Adv V:(PDIR) Nom1	punct	,CONJ ~~~ ~~~ punct ,~~~	~~~	~~~ ~~~ ~~~ ~~~ ~~~ ~~~		
1,ntu,25 . Da Kx Mclxng Mz Nzvz-nqblq-krnge Tzsiu ,		da	kx	mc -=x -ngq	mz	nz- vz -nqblq -kr -=nge	tzsiu	,	.	da	kx	mc -=x -ngq	mz	nz- vz -nqblq -kr -=nge	tzsiu	,	.	thing	SUBR	see -=1MINᵢ PL	PREP	NMLZ go FOLLOW NMLZ.POSS -=1MINᵢᵢ	monk	,25. Things I saw in my following the Brothers,~~~,ML ID,No comment,SGM 25,	punct	N	SUBR	V Nom1 DEM:Any	PREP	V>N V V:(V-COMP) V>N A-D-P2	N	,~~~ punct N Particle V PREP ~~~ N ,		~~~	~~~	~~~ ~~~ ~~~	~~~	~~~ ~~~ ~~~ ~~~ ~~~	~~~	
2.1,ntu,"Da ayrnrngr , kzdq nzrmangr mz nzyrlzngr . ",da	ayrnr		kzdq	nzrmangr	mz	nzyrlzngr		,"da	ayrnr	,	kzdq	nzrmangr	mz	nzyrlzngr	.	","thing	first	,	a	brideprice.event	PREP	wedding	.	","The first thing, it was a brideprice event for a wedding. ",~~~,ML ID,No comment,SGM 25,N	Adv	punct	Det	<NotSure>	PREP	Gerund	punct	,N Adv punct Det ~~~ PREP Gerund punct ,~~~	~~~		~~~	~~~	~~~	~~~		
2.2,ntu,"Ncblo kx rmale kc , sc tzpipebzlr mz tzsiu kcng li tqvznekr badr dzu r drta'dr . ",ncblo	kx	r- male	kc		sc-	tz- pi -=pe -bz -=lr	mz	tzsiu	kcng	li	tq- vz -ne -=kr	badr	dzu	r	drta' -=dr		,"ncblo	kx	r- male	kc	,	sc-	tz- pi -=pe -bz -=lr	mz	tzsiu	kcng	li	tq- vz -ne -=kr	badr	dzu	ngr	drta' -=dr	.	","man	SUBR	DETR hold	which	,	PFV	RL+3AUG say -=INCH* PDIR.THITHER -=3AUGᵢ	PREP	monk	those	two	RL go INTENSIFIER -=1AUGᵢ	~~~	portion	GEN1A	food -=3AUGᵢᵢ	.	","The man who held (the feast), they told the two brothers we went around with the portion of their food (that they were responsible to contribute).  ",~~~,ML ID,No comment,SGM 25,N	SUBR	V:(DETR) V	RPRN	punct	V:(Procliticaspect)	V:(MOOD) V V V:(PDIR) Nom1	PREP	N	RPRN	NUM	V:(MOOD) V V:Any Nom1	<NotSure>	N	GEN	N A-D-P2	punct	,N Particle ~~~ RPRN punct ~~~ ~~~ PREP N pro NUM ~~~ A-D-P2 N GEN ~~~ punct ,~~~	~~~	~~~ ~~~	~~~		~~~	~~~ ~~~ ~~~ ~~~ ~~~	~~~	~~~	~~~	~~~	~~~ ~~~ ~~~ ~~~	~~~	~~~	+fr. var. of	~~~ ~~~		
2.3,ntu,Nzpibzlr badr mz nrlckxbqpe mz nabz nepi kc tqrtqmz . ,nz- pi -bz -=lr	badr	mz	nrlckxbq -=pe	mz	nabz	nepi	kc	tq- rtqmz		,nz- pi -bz -=lr	badr	mz	nrlckxbq -=pe	mz	nabz	nepi	kc	tq- rtqmz	.	,3AUGᵢ say PDIR.THITHER -=3AUGᵢ	~~~	PREP	night -=INCH*	PREP	number	sun	which	RL eight	.	,,~~~,ML ID,No comment,SGM 25,V:Any V V:(PDIR) Nom1	<NotSure>	PREP	N V	PREP	N	N	RPRN	V:(MOOD) NUM	punct	,~~~ A-D-P2 PREP ~~~ PREP N N RPRN NUM punct ,~~~ ~~~ ~~~ ~~~	~~~	~~~	~~~ ~~~	~~~	~~~	~~~	~~~	~~~ ~~~		
2.4,ntu,"Nzrpibz tzsiu kcng kx , "" Nartwzobz da leplz mrkc Bwzng , murde kztegr kxnzkqlu sc tzmncng elr ."" ",nz- r- pi -bz	tzsiu	kcng	kx			na- r- twz -o -bz	da	leplz	mrkc			murde	kzte -=gr	kx nz kqlu	sc-	tz- mnc -=ngq	elr		,"nz- r- pi -bz	tzsiu	kcng	kx	,	""	na- r- twz -o -bz	da	leplz	mrkc		,	murde	kzte -=gr	kx nz kqlu	sc-	tz- mnc -=ngq	elr	.""	","3AUGᵢ DETR say PDIR.THITHER	monk	those	SUBR	,	""	IRR DETR take GDIR.DOWN PDIR.THITHER	thing	people	there		,	because	friend -=1AUGᵢᵢ	SUBR warm many	PFV	RL+3AUG be -=3AUGᵢ	there	.""	","They brothers said, ""things must be taken down for the people in Bwzng, because many of our friends/associates live there.""",~~~,ML ID,No comment,SGM 25,V:Any V:(DETR) V V:(PDIR)	N	RPRN	SUBR	punct	punct	V:(MOOD) V:(DETR) V V:(GDIR) V:(PDIR)	N	N	Adv		punct	CONJ	N A-D-P2	SUBR V V	V:(Procliticaspect)	V:(MOOD) V Nom1	Adv	punct	,V N pro Particle punct punct ~~~ N N Adv ~~~ punct CONJ ~~~ ~~~ ~~~ ~~~ Adv punct ,~~~ ~~~ ~~~ ~~~	~~~	~~~	~~~			~~~ ~~~ ~~~ ~~~ ~~~	~~~	~~~	~~~			~~~	~~~ ~~~	~~~ ~~~ ~~~	~~~	~~~ ~~~ ~~~	~~~		
2.5,ntu,"Kzdu doa nztq nzrpilr natwzbzlr , a' trpnz'ngr peao kx nangelune-ngrdr . ",kzdu	doa	nz- tq	nz- r- pi -=lr	na- twz -bz -=lr		a'	trpnzngr	peao	kx	na- ngelu -ne -ngr -=dr		,"kzdu	doa	nz- tq	nz- r- pi -=lr	na- twz -bz -=lr	,	a'	trpnzngr	peac	kx	na- ngelu -ne -ngr -=dr	.	","some	child	3AUGᵢ three	NMLZ DETR say -=3AUGᵢ	IRR take PDIR.THITHER -=3AUGᵢ	,	CONJ2	none.;.lack;.none	torch	SUBR	IRR light.the.way INTENSIFIER APP -=3AUGᵢᵢ	.	","Three people said they would take things, but there was no coconut leaf torches for them to light their way. ",~~~,ML ID,No comment,SGM 25,Det	N	V:Any NUM	V>N V:(DETR) V Nom1	V:(MOOD) V V:(PDIR) Nom1	punct	CONJ	NEG	N	SUBR	V:(MOOD) V V:Any V:(APP) A-D-P2	punct	,Det N N V ~~~ punct CONJ NEG N Particle ~~~ punct ,~~~	~~~	~~~ ~~~	~~~ ~~~ ~~~ ~~~	~~~ ~~~ ~~~ ~~~		~~~	~~~	~~~	~~~	~~~ ~~~ ~~~ ~~~ ~~~		
2.6,ntu,Murde mz zbq lc tewa dc kz . ,murde	mz	zbq	lc	tewa	dc	kz		,murde	mz	zbq	lc	tewa	dc	kz	.	,because	PREP	day	DEM2	rain	fall	also	.	,Because during the day rain had also fallen. ,~~~,ML ID,No comment,SGM 25,CONJ	PREP	N	Det	V	V	Adv	punct	,CONJ PREP N Det V V Adv punct ,~~~	~~~	~~~	~~~	~~~	~~~	~~~		
2.7,ntu,"Nzveaneng da kx nangelungr a' trpnz'ngr , ngitxpwz kzdq dapu nc tabao kxglr trtakitru nabx . ",nz- vea -ne -=ngq	da	kx	na- ngelu -ngr	a'	trpnzngr		ngi txpwz	kzdq	dapu	nc	tabao	kx glr	tr- takitr -u	nabx		,"nz- vea -ne -=ngq	da	kx	na- ngelu -ngr	a'	trpnzngr	,	ngi txpwz	kzdq	dapu	nc	tabao	kx glr	tr- takitr -u	nabx	.	","3AUGᵢ ask INTENSIFIER -=3AUGᵢ	thing	SUBR	IRR light.the.way APP	CONJ2	none.;.lack;.none	,	be only	a	piece	stick	papaya	SUBR dry	NEG fitting NEG	fathom	.	","They asked around for things for lighting the way, but there were none, only a dry papaya stick less then two meters long. ",~~~,ML ID,No comment,SGM 25,V:Any V V:Any Nom1	N	SUBR	V:(MOOD) V V:(APP)	CONJ	NEG	punct	V Adv	Det	N	N	N	SUBR V	V:(NEG>) V V:(<NEG)	N	punct	,~~~ N Particle ~~~ CONJ NEG punct ~~~ Det N N N ~~~ ~~~ N punct ,~~~ ~~~ ~~~ ~~~	~~~	~~~	~~~ ~~~ ~~~	~~~	~~~		~~~ ~~~	~~~	~~~	~~~	~~~	~~~ ~~~	~~~ ~~~ ~~~	~~~		
2.8,ntu,Rtrngrtibz tzsiu kc plameitxde dapude li rsakrlrngr . ,rtrngr -ti -bz	tzsiu	kc	plamei -tx -=de	dapu -=de	li	rsakrlr -ngr		,rtrngr -ti -bz	tzsiu	kc	plamei -tx -=de	dapu -=de	li	rsakrlr -ngr	.	,take.hold.of TRNS PDIR.THITHER	monk	which	break INTS;.VERY -=3MINᵢᵢ	piece -=3MINᵢᵢ	two	equal APP	.	,The brother took it and broke it into two equal pieces. ,~~~,ML ID,No comment,SGM 25,V V:Any V:(PDIR)	N	RPRN	V V:(INTNS) A-D-P2	N A-D-P2	NUM	V V:(APP)	punct	,V N RPRN ~~~ ~~~ NUM V punct ,~~~ ~~~ ~~~	~~~	~~~	~~~ ~~~ ~~~	~~~ ~~~	~~~	~~~ ~~~		
2.9,ntu,"Tekatrtxbzle dapu nc tabao kcng li , sc tqrpibzle kx , "" Tewa dc , a' koma kx tqmclamu du peao kxlrpr mz lrpzki bzkq kalzmamu nangitxpwz nc~tabao lcng li ."" ",teka -tr -tx -bz -=le	dapu	nc	tabao	kcng	li		sc-	tq- r- pi -bz -=le	kx			tewa	dc		a'	koma	kx	tq- mc -=amu	du	peao	kx lrpr	mz	lrpzki	bzkq	kalz -mq -=amu	na- ngi txpwz	nc tabao	lcng	li		,"teka -tr -tx -bz -=le	dapu	nc	tabao	kcng	li	,	sc-	tq- r- pi -bz -=le	kx	,	""	tewa	dc	,	a'	koma	kx	tq- mc -=amu	du	peac	kx lrpr	mz	lrpzki	bzkq	kalz -mq -=amu	na- ngi txpwz	nc tabao	lcng	li	.""	","ignite GDIR.IN INTS;.VERY PDIR.THITHER -=3MINᵢ	piece	stick	papaya	those	two	,	PFV	RL DETR say PDIR.THITHER -=3MINᵢ	SUBR	,	""	rain	fall	,	CONJ2	today	SUBR	RL see -=2AUGᵢ	QNT.PL	torch	SUBR wet	PREP	road	do.not	pick.up PDIR.HITHER -=2AUGᵢ	IRR be only	PAPAYA.TREE	these	two	.""	","He lit the two pieces of papaya sticks, and he said, ""It is raining, but today when you see some wet torches on the road do not pick them up it must only be these two papaya sticks.""",~~~,ML ID,No comment,SGM 25,V V:(GDIR) V:(INTNS) V:(PDIR) Nom1	N	N	N	RPRN	NUM	punct	V:(Procliticaspect)	V:(MOOD) V:(DETR) V V:(PDIR) Nom1	SUBR	punct	punct	V	V	punct	CONJ	N	SUBR	V:(MOOD) V Nom1	Det	N	SUBR V	PREP	N	V	V V:(PDIR) Nom1	V:(MOOD) V Adv	Ncomp	RPRN	NUM	punct	,~~~ N N N pro NUM punct ~~~ ~~~ Particle punct punct V V punct CONJ N Particle ~~~ Det N ~~~ PREP N V ~~~ V NP (comp) RPRN NUM punct ,~~~ ~~~ ~~~ ~~~ ~~~	~~~	~~~	~~~	~~~	~~~		~~~	~~~ ~~~ ~~~ ~~~ ~~~	~~~			~~~	~~~		~~~	~~~	~~~	~~~ ~~~ ~~~	~~~	~~~	~~~ ~~~	~~~	~~~	~~~	~~~ ~~~ ~~~	~~~ ~~~ ~~~	~~~	~~~	~~~		
2.10,ntu,"Nzrkalzmqng Neboi kc peto mz nabz~nepi kc tqrpwxmz , x nzkrlztr-mouplr Neboi mz nzyzlu-krmlr mz nabz~nepi kc nzpnu-nrade-li . ",nz- rkalz -mq -=ngq	Neboi	kc	peto	mz	nabz.nepi	kc	tq- rpwxmz		x	nz- krlz -tr mou -mq -=lr	Neboi	mz	nz- yzlu -kr -mq -=lr	mz	nabz.nepi	kc	nzpnu-nrade-li		,"nz- rkalz -mq -=ngq	Neboi	kc	peto	mz	nabz nepi	kc	tq- rpwxmz	,	x	nz- krlz -tr mou -mq -=lr	Neboi	mz	nz- yzlu -kr -mq -=lr	mz	nabz nepi	kc	nzpnu-nrade-li	.	","3AUGᵢ set.out PDIR.HITHER -=3AUGᵢ	Neboi	which	bush	PREP	hour	which	RL nine	,	CONJ1	NMLZ reach GDIR.IN again PDIR.HITHER -=3AUGᵢ	Neboi	PREP	NMLZ return NMLZ.POSS PDIR.HITHER -=3AUGᵢ	PREP	hour	which	twelve	.	",They left Neboi in the bush (to take the things to Bwzng) at 9pm and they arrived back at Neboi in their returning at 12 midnight. ,~~~,ML ID,No comment,SGM 25,V:Any V V:(PDIR) Nom1	PN	RPRN	N	PREP	NP	RPRN	V:(MOOD) NUM	punct	CONJ	V>N V V:(GDIR) Adv V:(PDIR) Nom1	PN	PREP	V>N V V>N V:(PDIR) Nom1	PREP	NP	RPRN	NUM	punct	,~~~ PN RPRN N PREP NP RPRN ~~~ punct CONJ N PN PREP ~~~ PREP NP RPRN NUM punct ,~~~ ~~~ ~~~ ~~~	~~~	~~~	~~~	~~~	~~~	~~~	~~~ ~~~		~~~	~~~ ~~~ ~~~ ~~~ ~~~ ~~~	~~~	~~~	~~~ ~~~ ~~~ ~~~ ~~~	~~~	~~~	~~~	~~~		
2.11,ntu,"Kx mckr dapu nc~tabao kcng li nangelune-ngrdr nzrlasz-ate-krdr metavao , kctitxpxkr amrlx ngrgr . ",kx	mc -=kr	dapu	nc tabao	kcng	li	na- ngelu -ne -ngr -=dr	nz- rlasz -ate -kr -=dr	me tavao		kcti -tx -px -=kr	amrlx	-ngr -=gr		,"kx	mc -=kr	dapu	nc tabao	kcng	li	na- ngelu -ne -ngr -=dr	nz- rlasz -ate -kr -=dr	me tavau	,	kcti -tx -px -=kr	amrlx	-ngr -=gr	.	","SUBR	see -=1AUGᵢ	piece	PAPAYA.TREE	those	two	IRR light.the.way INTENSIFIER APP -=3AUGᵢᵢ	NMLZ leave AFTERWARD NMLZ.POSS -=3AUGᵢᵢ	place middle	,	marvel INTS;.VERY GDIR.OUT -=1AUGᵢ	all	APP -=1AUGᵢᵢ	.	","When we saw those two pieces of papaya they would light their way with were afterward only burned to the middle, CHECK THIS!! all of us were amazed. ",~~~,ML ID,No comment,SGM 25,SUBR	V Nom1	N	Ncomp	RPRN	NUM	V:(MOOD) V V:Any V:(APP) A-D-P2	V>N V V:(DEGR) V>N A-D-P2	<NotSure> V	punct	V V:(INTNS) V:(GDIR) Nom1	Adj	V:(APP) A-D-P2	punct	,Particle ~~~ N NP (comp) pro NUM ~~~ ~~~ V punct ~~~ Adj ~~~ punct ,~~~	~~~ ~~~	~~~	~~~	~~~	~~~	~~~ ~~~ ~~~ ~~~ ~~~	~~~ ~~~ ~~~ ~~~ ~~~	~~~ +fr. var. of		~~~ ~~~ ~~~ ~~~	~~~	~~~ ~~~		
2.12,ntu,"Krlc kzdq rkx kxmatq , kzdq merikol . ",krlc	kzdq	rkx	kx matq		kzdq	merikol		,"krlc	kzdq	rkx	kx matq	,	kzdq	merikol	.	","that.there.one	a	sign	SUBR powerful	,	a	miracle	.	","This was a powerful sign, a miracle. ",~~~,ML ID,No comment,SGM 25,RPRN	Det	N	SUBR V	punct	Det	N	punct	,RPRN Det N ~~~ punct Det N punct ,~~~	~~~	~~~	~~~ ~~~		~~~	~~~		
3.1,ntu,"Da krali , kzdq olvz lr Mznanq kxyrlz yagox . ",da	kra- li		kzdq	olvz	lr		kx yrlz	yagox		,"da	kra- li	,	kzdq	olvz	lr		kx yrlz	yagox	.	","thing	ORD two	,	a	female	ITE		SUBR marry	sick	.	","The second thing, there was a married woman from Mznanq who was sick. ",~~~,ML ID,No comment,SGM 25,N	NUM:(ORD) NUM	punct	Det	N	Posspro		SUBR V	V	punct	,N Ord punct Det N Poss pro ~~~ ~~~ V punct ,~~~	~~~ ~~~		~~~	~~~	~~~		~~~ ~~~	~~~		
3.2,ntu,Olvz lc yagoxtx zlwz x mnclvzrngr txpwz ncblo ngrde bea . ,olvz	lc	yagox -tx	zlwz	x	mnc -lvz -ngr	txpwz	ncblo	ngr -=de	bea		,olvz	lc	yagox -tx	zlwz	x	mnc -lvz -ngr	txpwz	ncblo	ngr -=de	bea	.	,"female	DEM2	sick INTS;.VERY	very;.very,.much	CONJ1	stay,.live,.be UDIR.TOWARD APP	only	man	GEN1A -=3MINᵢᵢ	midday	.	",This woman was very very sick and only her husband stayed caring for her at midday. ,~~~,ML ID,No comment,SGM 25,N	Det	V V:(INTNS)	Adv	CONJ	V V:(UDIR) V:(APP)	Adv	N	GEN A-D-P2	N	punct	,N Det ~~~ Adv CONJ ~~~ Adv N Poss pro N punct ,~~~	~~~	~~~ ~~~	~~~	~~~	~~~ ~~~ ~~~	~~~	~~~	~~~ ~~~	~~~		
